order	GSM701923_H3K4me2_bowtie_v3m1p4_merged.bam	GSM701924_H3K4me3_bowtie_v3m1p4_merged.bam
1	120	22
2	64	11
3	12	100
4	87	65
5	77	10
6	54	23
7	68	54
8	32	41
9	55	4
10	11	0
11	33	0
12	4	0
13	64	33
14	31	0
15	0	24
16	35	9
17	64	33
18	0	0
19	54	0
20	12	33
21	0	0
22	0	0
23	2	33
24	31	0
25	0	0
26	0	0
27	33	0
28	0	33
29	0	0
30	0	0
31	52	0
32	16	33
33	38	0
34	78	0
35	28	22
36	19	11
37	43	0
38	80	0
39	75	0
40	0	0
41	21	0
42	92	12
43	52	21
44	0	32
45	56	113
46	113	53
47	76	16
48	70	17
49	15	0
50	33	79
51	64	58
52	104	71
53	155	244
54	144	348
55	174	515
56	124	382
57	150	399
58	192	557
59	81	86
60	146	197
61	187	115
62	256	371
63	295	462
64	315	245
65	332	124
66	87	137
67	161	109
68	89	43
69	135	45
70	97	0
71	99	0
72	108	21
73	214	22
74	127	96
75	197	51
76	129	41
77	199	33
78	170	82
79	128	17
80	169	0
81	89	20
