Chr	Start	End	trim_mean	Gene	GeneType	GeneAnnot	TE	TEFamily	Intergenic	5UTR	exon	intron	3UTR
chr1	16509148	16509684	1.937354828	AT1G43730	protein_coding_gene	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: RNA-directed DNA polymerase (reverse transcriptase), related (InterPro:IPR015706); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G04650.1); Has 562 Blast hits to 549 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 562; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).	AT1TE54470	ATLINE2:LINE/L1	NONE	NONE	Chr1:16509458-16509784;Chr1:16508723-16509358	Chr1:16509358-16509458	NONE
chr1	17534455	17535219	1.879778736	AT1G47660	protein_coding_gene	unknown protein	NONE	NONE	NONE	NONE	Chr1:17535181-17535551;Chr1:17534931-17535079	Chr1:17535079-17535181;Chr1:17534248-17534931	NONE
chr1	19963645	19963992	2.013820157	AT1G53480;AT1G53490	protein_coding_gene;protein_coding_gene	unknown protein;DNA binding	NONE	NONE	NONE	Chr1:19963267-19964341	Chr1:19963476-19963949	Chr1:19963949-19964605	NONE
chr1	23568398	23568871	2.021833984	AT1G63540	protein_coding_gene	hydroxyproline-rich glycoprotein family protein	NONE	NONE	NONE	NONE	Chr1:23567495-23569073	NONE	NONE
chr1	26821111	26821402	0.662273678	AT1G71120	protein_coding_gene	GLIP6; carboxylesterase/ lipase	NONE	NONE	NONE	NONE	Chr1:26821395-26821860;Chr1:26821072-26821307	Chr1:26821307-26821395	NONE
chr1	27515179	27516243	1.682505236	AT1G73175	pseudogene	This is described as a LINE; it is present at this location in 83 natural accessions of Arabidopsis, including Col-0, but it is not present in 13 natural accessions including Cvi-0. This locus is normally methylated in wild type Col plants. BONSAI (At1g73177), an adjacent gene, can become hypermethylated in a ddm1 (At5g66750) mutant, and this seems to depends on the presence of the LINE. But, transcript levels of the gene on the other side of the LINE (At1g73170) do not drop in ddm1 mutant plants.	NONE	NONE	NONE	NONE	NONE	NONE	NONE
chr1	29536436	29536910	0.990502709	AT1G78510	protein_coding_gene	SPS1 (solanesyl diphosphate synthase 1); trans-octaprenyltranstransferase	NONE	NONE	NONE	NONE	Chr1:29536698-29536822;Chr1:29536477-29536604	Chr1:29536822-29536977;Chr1:29536604-29536698;Chr1:29536372-29536477;Chr1:29536822-29536973;Chr1:29536604-29536698;Chr1:29536372-29536477	NONE
chr1	3958308	3958652	0.915358693	AT1G11730	protein_coding_gene	galactosyltransferase family protein	NONE	NONE	NONE	NONE	Chr1:3958333-3958361;Chr1:3958458-3958651	Chr1:3958253-3958333;Chr1:3958361-3958458;Chr1:3958651-3958735	NONE
chr2	11649070	11649603	1.650900067	AT2G27229	protein_coding_gene	unknown protein	NONE	NONE	AT2G27220-AT2G27229	Chr2:11649154-11649182	Chr2:11649183-11649557	NONE	Chr2:11649558-11649998
chr2	12614047	12614519	1.351109752	AT2G29400	protein_coding_gene	TOPP1 (TYPE ONE PROTEIN PHOSPHATASE 1); protein serine/threonine phosphatase	NONE	NONE	NONE	NONE	Chr2:12614046-12614602	NONE	NONE
